model,timestep,task,metric_value,best_layer
B,799,depth,0.1710,res::up_blocks.1.resnets.0
B,699,depth,0.1649,res::up_blocks.1.resnets.0
B,599,depth,0.1584,res::up_blocks.1.resnets.0
B,499,depth,0.1706,res::up_blocks.1.resnets.0
B,399,depth,0.1785,res::up_blocks.1.resnets.0
B,299,depth,0.1590,res::up_blocks.1.resnets.0
B,199,depth,0.1729,res::up_blocks.1.resnets.0
B,99,depth,0.1653,res::up_blocks.1.resnets.0
B,999,boundary,0.7402,res::up_blocks.1.resnets.0
B,899,boundary,0.7417,res::up_blocks.1.resnets.0
B,799,boundary,0.7444,res::up_blocks.1.resnets.0
B,699,boundary,0.7523,res::up_blocks.1.resnets.0
B,599,boundary,0.7501,res::up_blocks.1.resnets.0
B,499,boundary,0.7506,res::up_blocks.1.resnets.0
B,399,boundary,0.7492,res::up_blocks.1.resnets.0
B,299,boundary,0.7455,res::up_blocks.1.resnets.0
B,199,boundary,0.7465,res::up_blocks.1.resnets.0
B,99,boundary,0.7445,res::up_blocks.1.resnets.0
B,999,ordinal,0.7381,res::up_blocks.1.resnets.1
B,899,ordinal,0.7394,res::up_blocks.1.resnets.1
B,799,ordinal,0.7392,res::up_blocks.1.resnets.1
B,699,ordinal,0.7442,res::up_blocks.1.resnets.1
B,599,ordinal,0.7457,res::up_blocks.1.resnets.1
B,499,ordinal,0.7400,res::up_blocks.1.resnets.1
B,399,ordinal,0.7374,res::up_blocks.1.resnets.1
B,299,ordinal,0.7411,res::up_blocks.1.resnets.1
B,199,ordinal,0.7314,res::up_blocks.1.resnets.1
B,99,ordinal,0.7327,res::up_blocks.1.resnets.1
B,999,depth,0.1475,res::up_blocks.1.resnets.1
B,899,depth,0.1531,res::up_blocks.1.resnets.1
B,799,depth,0.1534,res::up_blocks.1.resnets.1
B,699,depth,0.1666,res::up_blocks.1.resnets.1
B,599,depth,0.1596,res::up_blocks.1.resnets.1
B,499,depth,0.1588,res::up_blocks.1.resnets.1
B,399,depth,0.1737,res::up_blocks.1.resnets.1
B,299,depth,0.1734,res::up_blocks.1.resnets.1
B,199,depth,0.1662,res::up_blocks.1.resnets.1
B,99,depth,0.1757,res::up_blocks.1.resnets.1
B,999,boundary,0.7425,res::up_blocks.1.resnets.1
B,899,boundary,0.7374,res::up_blocks.1.resnets.1
B,799,boundary,0.7352,res::up_blocks.1.resnets.1
B,699,boundary,0.7463,res::up_blocks.1.resnets.1
B,599,boundary,0.7425,res::up_blocks.1.resnets.1
B,499,boundary,0.7404,res::up_blocks.1.resnets.1
B,399,boundary,0.7373,res::up_blocks.1.resnets.1
B,299,boundary,0.7468,res::up_blocks.1.resnets.1
B,199,boundary,0.7416,res::up_blocks.1.resnets.1
B,99,boundary,0.7366,res::up_blocks.1.resnets.1
B,999,ordinal,0.7035,res::up_blocks.2.resnets.0
B,899,ordinal,0.7093,res::up_blocks.2.resnets.0
B,799,ordinal,0.7168,res::up_blocks.2.resnets.0
B,699,ordinal,0.7180,res::up_blocks.2.resnets.0
B,599,ordinal,0.7242,res::up_blocks.2.resnets.0
B,499,ordinal,0.7187,res::up_blocks.2.resnets.0
B,399,ordinal,0.7188,res::up_blocks.2.resnets.0
B,299,ordinal,0.7197,res::up_blocks.2.resnets.0
B,199,ordinal,0.7243,res::up_blocks.2.resnets.0
B,99,ordinal,0.7199,res::up_blocks.2.resnets.0
B,999,depth,0.1742,res::up_blocks.2.resnets.0
B,899,depth,0.1827,res::up_blocks.2.resnets.0
B,799,depth,0.1683,res::up_blocks.2.resnets.0
B,699,depth,0.1730,res::up_blocks.2.resnets.0
B,599,depth,0.1654,res::up_blocks.2.resnets.0
B,499,depth,0.1551,res::up_blocks.2.resnets.0
B,399,depth,0.1686,res::up_blocks.2.resnets.0
B,299,depth,0.1643,res::up_blocks.2.resnets.0
B,199,depth,0.1695,res::up_blocks.2.resnets.0
B,99,depth,0.1406,res::up_blocks.2.resnets.0
B,999,boundary,0.7315,res::up_blocks.2.resnets.0
B,899,boundary,0.7379,res::up_blocks.2.resnets.0
B,799,boundary,0.7394,res::up_blocks.2.resnets.0
B,699,boundary,0.7410,res::up_blocks.2.resnets.0
B,599,boundary,0.7441,res::up_blocks.2.resnets.0
B,499,boundary,0.7456,res::up_blocks.2.resnets.0
B,399,boundary,0.7434,res::up_blocks.2.resnets.0
B,299,boundary,0.7453,res::up_blocks.2.resnets.0
B,199,boundary,0.7417,res::up_blocks.2.resnets.0
B,99,boundary,0.7380,res::up_blocks.2.resnets.0
B,999,ordinal,0.7152,res::up_blocks.2.resnets.2
B,899,ordinal,0.7163,res::up_blocks.2.resnets.2
B,799,ordinal,0.7139,res::up_blocks.2.resnets.2
B,699,ordinal,0.7142,res::up_blocks.2.resnets.2
B,599,ordinal,0.7078,res::up_blocks.2.resnets.2
B,499,ordinal,0.7016,res::up_blocks.2.resnets.2
B,399,ordinal,0.6951,res::up_blocks.2.resnets.2
B,299,ordinal,0.6913,res::up_blocks.2.resnets.2
B,199,ordinal,0.6855,res::up_blocks.2.resnets.2
B,99,ordinal,0.6871,res::up_blocks.2.resnets.2
B,999,depth,0.1636,res::up_blocks.2.resnets.2
B,899,depth,0.1655,res::up_blocks.2.resnets.2
B,799,depth,0.1694,res::up_blocks.2.resnets.2
B,699,depth,0.1754,res::up_blocks.2.resnets.2
B,599,depth,0.1652,res::up_blocks.2.resnets.2
B,499,depth,0.1655,res::up_blocks.2.resnets.2
B,399,depth,0.1564,res::up_blocks.2.resnets.2
B,299,depth,0.1756,res::up_blocks.2.resnets.2
B,199,depth,0.1624,res::up_blocks.2.resnets.2
B,99,depth,0.1633,res::up_blocks.2.resnets.2
B,999,boundary,0.7406,res::up_blocks.2.resnets.2
B,899,boundary,0.7420,res::up_blocks.2.resnets.2
B,799,boundary,0.7415,res::up_blocks.2.resnets.2
B,699,boundary,0.7451,res::up_blocks.2.resnets.2
B,599,boundary,0.7450,res::up_blocks.2.resnets.2
B,499,boundary,0.7462,res::up_blocks.2.resnets.2
B,399,boundary,0.7430,res::up_blocks.2.resnets.2
B,299,boundary,0.7438,res::up_blocks.2.resnets.2
B,199,boundary,0.7439,res::up_blocks.2.resnets.2
B,99,boundary,0.7468,res::up_blocks.2.resnets.2
B,999,ordinal,0.6713,res::up_blocks.3.resnets.1
B,899,ordinal,0.6672,res::up_blocks.3.resnets.1
B,799,ordinal,0.6694,res::up_blocks.3.resnets.1
B,699,ordinal,0.6670,res::up_blocks.3.resnets.1
B,599,ordinal,0.6611,res::up_blocks.3.resnets.1
B,499,ordinal,0.6482,res::up_blocks.3.resnets.1
B,399,ordinal,0.6465,res::up_blocks.3.resnets.1
B,299,ordinal,0.6423,res::up_blocks.3.resnets.1
B,199,ordinal,0.6440,res::up_blocks.3.resnets.1
B,99,ordinal,0.6417,res::up_blocks.3.resnets.1
B,999,depth,0.1527,res::up_blocks.3.resnets.1
B,899,depth,0.1588,res::up_blocks.3.resnets.1
B,799,depth,0.1476,res::up_blocks.3.resnets.1
B,699,depth,0.1489,res::up_blocks.3.resnets.1
B,599,depth,0.1549,res::up_blocks.3.resnets.1
B,499,depth,0.1606,res::up_blocks.3.resnets.1
B,399,depth,0.1591,res::up_blocks.3.resnets.1
B,299,depth,0.1525,res::up_blocks.3.resnets.1
B,199,depth,0.1508,res::up_blocks.3.resnets.1
B,99,depth,0.1530,res::up_blocks.3.resnets.1
B,999,boundary,0.7399,res::up_blocks.3.resnets.1
B,899,boundary,0.7446,res::up_blocks.3.resnets.1
B,799,boundary,0.7414,res::up_blocks.3.resnets.1
B,699,boundary,0.7444,res::up_blocks.3.resnets.1
B,599,boundary,0.7428,res::up_blocks.3.resnets.1
B,499,boundary,0.7421,res::up_blocks.3.resnets.1
B,399,boundary,0.7412,res::up_blocks.3.resnets.1
B,299,boundary,0.7434,res::up_blocks.3.resnets.1
B,199,boundary,0.7397,res::up_blocks.3.resnets.1
B,99,boundary,0.7390,res::up_blocks.3.resnets.1
B,999,ordinal,0.7293,res::mid_block.resnets.0
B,899,ordinal,0.7388,res::mid_block.resnets.0
B,799,ordinal,0.7261,res::mid_block.resnets.0
B,699,ordinal,0.7222,res::mid_block.resnets.0
B,599,ordinal,0.7194,res::mid_block.resnets.0
B,499,ordinal,0.7218,res::mid_block.resnets.0
B,399,ordinal,0.7229,res::mid_block.resnets.0
B,299,ordinal,0.7191,res::mid_block.resnets.0
B,199,ordinal,0.7224,res::mid_block.resnets.0
B,99,ordinal,0.7157,res::mid_block.resnets.0
B,999,depth,0.1675,res::mid_block.resnets.0
B,899,depth,0.1567,res::mid_block.resnets.0
B,799,depth,0.1620,res::mid_block.resnets.0
B,699,depth,0.1637,res::mid_block.resnets.0
B,599,depth,0.1709,res::mid_block.resnets.0
B,499,depth,0.1672,res::mid_block.resnets.0
B,399,depth,0.1651,res::mid_block.resnets.0
B,299,depth,0.1496,res::mid_block.resnets.0
B,199,depth,0.1719,res::mid_block.resnets.0
B,99,depth,0.1566,res::mid_block.resnets.0
B,999,boundary,0.7332,res::mid_block.resnets.0
B,899,boundary,0.7396,res::mid_block.resnets.0
B,799,boundary,0.7315,res::mid_block.resnets.0
B,699,boundary,0.7282,res::mid_block.resnets.0
B,599,boundary,0.7437,res::mid_block.resnets.0
B,499,boundary,0.7239,res::mid_block.resnets.0
B,399,boundary,0.7395,res::mid_block.resnets.0
B,299,boundary,0.7304,res::mid_block.resnets.0
B,199,boundary,0.7343,res::mid_block.resnets.0
B,99,boundary,0.7394,res::mid_block.resnets.0
D,999,ordinal,0.4474,res::down_blocks.0.resnets.0
D,999,depth,0.1211,res::down_blocks.0.resnets.0
D,999,boundary,0.7432,res::down_blocks.0.resnets.0
D,999,ordinal,0.4823,res::down_blocks.0.resnets.1
D,999,depth,0.1191,res::down_blocks.0.resnets.1
D,999,boundary,0.7433,res::down_blocks.0.resnets.1
D,999,ordinal,0.5796,res::down_blocks.1.resnets.1
D,999,depth,0.1433,res::down_blocks.1.resnets.1
D,999,boundary,0.7389,res::down_blocks.1.resnets.1
D,999,ordinal,0.7353,res::down_blocks.2.resnets.1
D,999,depth,0.1734,res::down_blocks.2.resnets.1
D,999,boundary,0.7426,res::down_blocks.2.resnets.1
D,999,ordinal,0.7288,res::down_blocks.3.resnets.1
D,999,depth,0.1653,res::down_blocks.3.resnets.1
D,999,boundary,0.7444,res::down_blocks.3.resnets.1
D,999,ordinal,0.7267,res::up_blocks.0.resnets.1
D,999,depth,0.1493,res::up_blocks.0.resnets.1
D,999,boundary,0.7393,res::up_blocks.0.resnets.1
D,999,ordinal,0.7337,res::up_blocks.1.resnets.0
D,999,depth,0.1528,res::up_blocks.1.resnets.0
D,999,boundary,0.7514,res::up_blocks.1.resnets.0
D,999,ordinal,0.7362,res::up_blocks.1.resnets.1
D,999,depth,0.1654,res::up_blocks.1.resnets.1
D,999,boundary,0.7419,res::up_blocks.1.resnets.1
D,999,ordinal,0.7151,res::up_blocks.2.resnets.0
D,999,depth,0.1705,res::up_blocks.2.resnets.0
D,999,boundary,0.7383,res::up_blocks.2.resnets.0
D,999,ordinal,0.7136,res::up_blocks.2.resnets.2
D,999,depth,0.1725,res::up_blocks.2.resnets.2
